0 0 0 1
0.387 0 1.6081 1.66E-7
0.723 0 1.175 2.44E-6
1 0 1 3E-6
1.523 0 0.81 3.23E-7
5.204 0 0.44 9.54E-4
9.58 0 0.326 2.85E-4
19.201 0 0.228 4.36E-5
30.05 0 0.181 5.13E-5
38.834 0 0.158 6.28E-9
